Altium Designer Pick and Place Locations
\\nestor\brettjg\IotMedicine\ESE516_ExampleBaseProject_V1\Project Outputs for ESE516_ExampleBaseProject_V1\Pick Place\Pick Place for ESE516_BareBoardTemplate.csv

========================================================================================================================
File Design Information:

Date:       28/05/19
Time:       17:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L1","Inductor","TopLayer","DFE252012F","2.5400","38.5318","180","Inductor"
"GND","5019","TopLayer","KSTN-5019_V","49.6062","4.0132","0","Test Point, 1 Position SMD, RoHS, Tape and Reel"
"D2","RGB LED","TopLayer","WP154A4_LED","30.3530","10.2362","270","RGB LED (THT)"
"U5","Class D Amp","TopLayer","PAM8302_SO-8","21.6916","46.8884","0","2.5W Filterless Class-D Mono Audio Amplifier"
"X1","14340272-32.768KHz","TopLayer","ITTI-14340272-32.768KHz-2_V","36.0172","29.7942","90","Crystal, 32.768 KHz, -40 to 85 degC, 3.2 x 1.5 x 0.9 mm SMD"
"U10","TLE2426CDR","TopLayer","TLE2426CDR","40.6146","8.8900","0","Rail Splitter IC"
"U9","TLV62568DRL","TopLayer","TLV62568-SOT563","3.2686","41.4240","270","This is a buck/boost converter designed by Texas Instruments"
"U6","Real-Time Clock","TopLayer","DS3231_SO16","47.4980","53.1876","180","Extremely Accurate I2C-Integrated RTC/TCXO/Crystal"
"U4","AT25DF081A-SSH-T","TopLayer","AT25DF081A-SSH-T","52.7558","37.6428","0","IC FLASH 8MBIT 100MHZ 8SOIC"
"U3","SAMW25H18-MR510PB","TopLayer","SAMW25H18-MR510PB","21.0613","24.7706","180","RF TXRX MODULE WIFI TRACE ANT"
"U2","20021111-00010T4LF","TopLayer","20021111-00010T4LF","38.5318","25.2984","0","CONN HEADER 10POS UNSHD VERT T/H"
"U1","FT234XD-R","TopLayer","DFN-12_V","11.4554","45.1104","0","FT234XD USB to BASIC UART IC, -40 to +85 degC, 12-Pin DFN, Pb-Free, Tape and Reel"
"SD1","104031-0811","TopLayer","MOLX-104031-0811_V","52.6288","27.0256","90","Micro SD Card, RA, -25 to 85 degC, 8-Pin SMD, RoHS, Tape and Reel"
"Red1","150080SS75000","TopLayer","0805_A","11.0998","41.4528","90","SMD mono-color Chip LED, WL-SMCW, Super Red"
"R38","FSR","TopLayer","HDR1X2H","30.2260","4.9022","0","Force Sensing Resistor"
"R37","30k","TopLayer","6-0805_L","36.8404","2.6622","90","Resistor"
"R36","Res1","TopLayer","6-0805_L","5.9690","39.7256","180","Resistor"
"R35","Res1","TopLayer","0402","6.6476","41.5544","270","Resistor"
"R33","","TopLayer","J1-0603","12.0904","38.0746","180","Resistor"
"R32","100","TopLayer","6-0805_L","23.0378","40.9956","90","Resistor (100)"
"R31","RPot","TopLayer","VR4","30.1244","40.7162","0","Potentiometer"
"R30","100","TopLayer","6-0805_L","20.4978","40.9956","90","Resistor (100)"
"R29","Res1","TopLayer","J1-0603","24.5408","15.0368","270","Resistor"
"R28","Res1","TopLayer","J1-0603","25.7810","15.0368","270","Resistor"
"R27","Res1","TopLayer","J1-0603","23.3172","15.0368","270","Resistor"
"R26","Res1","TopLayer","6-0805_L","14.1908","6.6294","0","Resistor"
"R25","Res1","TopLayer","6-0805_L","14.1732","2.7940","0","Resistor"
"R24","Res1","TopLayer","6-0805_L","14.1478","10.3378","0","Resistor"
"R23","Res1","TopLayer","J1-0603","38.9382","45.5168","270","Resistor"
"R22","Res1","TopLayer","J1-0603","40.5892","45.5168","270","Resistor"
"R21","Res1","TopLayer","J1-0603","54.9402","50.6984","270","Resistor"
"R20","1K","TopLayer","RESC0603(1608)_M","29.6672","15.2146","270","1K 0.1W 1% 0603 (1608 Metric)  SMD"
"R19","27R 1%","TopLayer","RESC0603(1608)_N","42.8498","19.0754","0","27R 0.1W 1% 0603 (1608 Metric)  SMD"
"R18","27R 1%","TopLayer","RESC0603(1608)_N","42.8498","17.2212","0","27R 0.1W 1% 0603 (1608 Metric)  SMD"
"R17","27R 1%","TopLayer","RESC0603(1608)_N","42.8498","20.9296","0","27R 0.1W 1% 0603 (1608 Metric)  SMD"
"R16","10K","TopLayer","J1-0603","49.5046","19.1262","270","Resistor"
"R15","10K","TopLayer","J1-0603","51.1302","19.1262","270","Resistor"
"R14","Jumper","TopLayer","RESC0603(1608)_N","42.4180","33.9598","90","Jumper 0603 (1608 Metric)"
"R13","Jumper","TopLayer","RESC0603(1608)_N","45.4660","33.9598","90","Jumper 0603 (1608 Metric)"
"R12","Jumper","TopLayer","RESC0603(1608)_N","43.9420","33.9598","90","Jumper 0603 (1608 Metric)"
"R11","","TopLayer","J1-0603","53.3400","42.7482","90","Resistor"
"R10","","TopLayer","J1-0603","51.5366","42.7482","90","Resistor"
"R9","","TopLayer","J1-0603","49.9110","42.7482","90","Resistor"
"R8","Jumper","TopLayer","RESC0603(1608)_N","46.7868","39.6748","0","Jumper 0603 (1608 Metric)"
"R7","39R","TopLayer","RESC0805(2012)_N","35.7632","19.6088","270","39R 0.125W 5% 0805 (2012 Metric)  SMD"
"R6","","TopLayer","J1-0603","36.2712","22.2758","0","Resistor"
"R5","1K","TopLayer","RESC0603(1608)_M","2.8956","49.5554","0","1K 0.1W 1% 0603 (1608 Metric)  SMD"
"R4","Jumper","TopLayer","RESC0603(1608)_N","8.4328","46.0248","90","Jumper 0603 (1608 Metric)"
"R3","1K","TopLayer","RESC0603(1608)_M","14.3510","41.9608","270","1K 0.1W 1% 0603 (1608 Metric)  SMD"
"R2","27R 1%","TopLayer","RESC0603(1608)_N","12.3444","49.4792","270","27R 0.1W 1% 0603 (1608 Metric)  SMD"
"R1","27R 1%","TopLayer","RESC0603(1608)_N","10.4902","49.4792","270","27R 0.1W 1% 0603 (1608 Metric)  SMD"
"Q3","NPN","TopLayer","SOT23_L","10.7270","6.5888","0","NPN Bipolar Transistor"
"Q2","NPN","TopLayer","SOT23_L","10.7442","2.8194","0","NPN Bipolar Transistor"
"Q1","NPN","TopLayer","SOT23_L","10.7442","10.2870","0","NPN Bipolar Transistor"
"LS1","Speaker","TopLayer","Speaker","30.0228","56.5103","270","Speaker 3" Diameter 4 Ohm 3 Watt"
"J1","ZX62R-B-5P","TopLayer","HIRO-ZX62R-B-5P_V","11.6344","56.8163","180","Connector; USBMicro-B,Reverse type, SMT; 5 Position; Right Angle"
"FB3","BLM21PG221SN1D","TopLayer","MURA-BLM21-B20-CHIP-2_V1","32.8930","49.7078","180","Chip Ferrite Bead for Power Lines, 220 Ohm, 2000 mA, -55 to 125 degC, 2 x 1.25 x 1.05 mm SMD, Tape and Reel"
"FB2","BLM21PG221SN1D","TopLayer","MURA-BLM21-B20-CHIP-2_V1","26.9748","49.7358","0","Chip Ferrite Bead for Power Lines, 220 Ohm, 2000 mA, -55 to 125 degC, 2 x 1.25 x 1.05 mm SMD, Tape and Reel"
"FB1","BLM21PG221SN1D","TopLayer","MURA-BLM21-B20-CHIP-2_V1","6.7818","52.3476","180","Chip Ferrite Bead for Power Lines, 220 Ohm, 2000 mA, -55 to 125 degC, 2 x 1.25 x 1.05 mm SMD, Tape and Reel"
"DS1","LTST-C191KGKT","TopLayer","LITE-ON-LTST-C191KRKT-2_V","27.0002","15.0368","90","Chip LED, Green, 574 nm, 40 pF, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"D1","PRTR5V0U2X,215","TopLayer","NXP-SOT143B-4_V","11.4300","52.7304","180","Ultra Low Capacitance Double Rail-to-Rail ESD Protection Diode, 5.5 V, 1 pF, -40 to 85 degC, 4-Pin SOT143B, RoHS, Tape and Reel"
"C28","Cap","TopLayer","C0805","44.5591","4.3434","90","Capacitor"
"C27","Cap","TopLayer","C0805","41.7718","4.3434","90","Capacitor"
"C26","Cap","TopLayer","1608[0603]","1.6002","42.0736","270","Capacitor"
"C25","Cap","TopLayer","1608[0603]","2.2860","43.9854","0","4.7 uF 10V 0603"
"C24","Cap","TopLayer","1608[0603]","54.9402","47.2186","270","Capacitor"
"C23","Cap","TopLayer","1608[0603]","23.3426","54.6750","90","Capacitor"
"C22","Cap","TopLayer","1608[0603]","36.7538","54.6466","270","Capacitor"
"C21","Cap","TopLayer","C0805","22.9616","37.3754","90","Capacitor"
"C20","Cap","TopLayer","1608[0603]","25.8572","47.9298","0","Capacitor"
"C19","Cap","TopLayer","C0805","20.5232","37.4396","90","Capacitor"
"C18","100nF 16V","TopLayer","CAPC0603(1608)100_N","54.7116","19.8120","0","CAP 100nF 16V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"C15","CAP 1uF 16V","TopLayer","CAPC0603(1608)100_N","55.5116","42.8752","270","CAP 1uF 16V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"C14","CAP 18pF 10V","TopLayer","CAPC0805(2012)75_L","38.6842","30.8356","0","CAP 18pF 10V ±1% 0805 (2012 Metric) Thickness 0.75mm SMD"
"C13","CAP 18pF 10V","TopLayer","CAPC0805(2012)75_L","38.6842","28.7274","0","CAP 18pF 10V ±1% 0805 (2012 Metric) Thickness 0.75mm SMD"
